"Order Number","Order Type","Asset Type","Fiat Type","Total Price","Price","Quantity","Exchange rate","Maker Fee","Taker Fee","Couterparty","Status","Created Time"
"22737833396044734464","Buy","USDT","CLP","100000","927.55","107.81",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 12:53:14"
"22737835159801372672","Buy","USDT","CLP","100000","927.5","107.81",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:00:14"
"22737836396657991680","Sell","USDT","CLP","199546.76","926.1","215.47",,"","0.05","FenixCorporation","Completed","2025-03-25 13:05:09"
"22737841294364467200","Buy","USDT","CLP","100000","926.47","107.93",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:24:37"
"22737842172594737152","Buy","USDT","CLP","100000","926.36","107.94",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:28:06"
"22737843106865192960","Buy","USDT","CLP","100000","926.36","107.94",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:31:49"
"22737847375633809408","Buy","USDT","CLP","100000","924.58","108.15",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:48:47"
"22737847953727041536","Buy","USDT","CLP","100000","923.87","108.24",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:51:04"
"22737848827542528000","Buy","USDT","CLP","100000","923.87","108.24",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 13:54:33"
"22737850666009985024","Sell","USDT","CLP","91954","920","99.95",,"","0.05","P2P-ddbe96ou","Completed","2025-03-25 14:01:51"
"22737852443518521344","Sell","USDT","CLP","91954","920","99.95",,"","0.05","P2P-ddbe96ou","Completed","2025-03-25 14:08:55"
"22737855077017231360","Buy","USDT","CLP","100000","924.82","108.12",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 14:19:23"
"22737855627497168896","Buy","USDT","CLP","100000","924.74","108.13",,"","0.05","Maryanne_Cambios","Completed","2025-03-25 14:21:34"
"22737857490161487872","Sell","USDT","CLP","91754.1","918","99.95",,"","0.05","P2P-ddbe96ou","Completed","2025-03-25 14:28:58"
"22737859522309677056","Sell","USDT","CLP","92203.87","922.5","99.95",,"","0.05","P2P-00ad82kf","Completed","2025-03-25 14:37:03"
"22737860485728673792","Sell","USDT","CLP","91814.07","918.6","99.95",,"","0.05","COMERC_VERIFIQUED","Completed","2025-03-25 14:40:52"
"22737863262738272256","Sell","USDT","CLP","91814.07","918.6","99.95",,"","0.05","COMERC_VERIFIQUED","Completed","2025-03-25 14:51:54"
"22737867124642414592","Sell","USDT","CLP","91960.99","920.07","99.95",,"","0.05","COMERC_VERIFIQUED","Completed","2025-03-25 15:07:15"
