"Order Number","Order Type","Asset Type","Fiat Type","Total Price","Price","Quantity","Exchange rate","Maker Fee","Taker Fee","Couterparty","Status","Created Time"
"22741140202048008192","Sell","USDT","CLP","35000","949","36.88",,"","0.05","Millicripto","Completed","2025-04-03 15:53:18"
"22741151466810105856","Sell","USDT","CLP","50000","948.5","52.71",,"","0.05","CambiosGugool","Completed","2025-04-03 16:38:03"
"22741155690910035968","Sell","USDT","CLP","50000","949.64","52.65","949.65","","0.05","SkyInvest","Completed","2025-04-03 16:54:51"
"22741160150811758592","Sell","USDT","CLP","10000","949.01","10.53",,"","0.05","UrbaLupi","Completed","2025-04-03 17:12:34"
"22741160654000668672","Sell","USDT","CLP","15000","946.7","15.84",,"","0.05","CSMS","Completed","2025-04-03 17:14:34"
"22741167538688569344","Sell","USDT","CLP","10000","940","10.63",,"","0.05","laratradingcl","Completed","2025-04-03 17:41:55"
"22741175545601314816","Sell","USDT","CLP","10000","948.05","10.54",,"","0.05","InversionesJrSpa","Completed","2025-04-03 18:13:44"
"22741179180034736128","Sell","USDT","CLP","50000","950.1","52.62",,"","0.05","SouthCL","Completed","2025-04-03 18:28:11"
"22741182785828216832","Sell","USDT","CLP","50000","951","52.57",,"","0.05","P2P-ddbe96ou","Completed","2025-04-03 18:42:30"
"22741185094773600256","Sell","USDT","CLP","40000","949.01","42.14","0.00","","0.05","CysDigitalSpa","Completed","2025-04-03 18:51:41"
"22741187469676511232","Sell","USDT","CLP","20000","942.21","21.22",,"","0.05","SagaPlaza","Completed","2025-04-03 19:01:07"
"22741188596781670400","Sell","USDT","CLP","15000","941.07","15.93",,"","0.05","VG_Group","Completed","2025-04-03 19:05:36"
"22741191668822867968","Sell","USDT","CLP","8000","936","8.54",,"","0.05","cambiosk","Completed","2025-04-03 19:17:48"
"22741198333168553984","Sell","USDT","CLP","10000","928","10.77",,"","0.05","Tradersomarcj","Completed","2025-04-03 19:44:17"
"22741199213233639424","Sell","USDT","CLP","20000","913.4","21.89","0.00","","0.05","Kyepez11","Completed","2025-04-03 19:47:47"
"22741201716521598976","Sell","USDT","CLP","100000","950.63","105.19","0.00","","0.05","CRIPTO_TKD","Completed","2025-04-03 19:57:44"
"22741202106283376640","Sell","USDT","CLP","100000","941","106.26",,"","0.05","MyE_spa","Completed","2025-04-03 19:59:17"
"22741206272670920704","Sell","USDT","CLP","100000","950","105.26",,"","0.05","Yordi-Smart-Money","Completed","2025-04-03 20:15:50"
"22741206800082796544","Sell","USDT","CLP","170000","950.9","178.77","0.00","","0.05","DigitalesYaSpa","Completed","2025-04-03 20:17:56"
"22741209623873339392","Sell","USDT","CLP","134198.85","948.67","141.46",,"","0.05","ViamonteCorp","Completed","2025-04-03 20:29:09"
"22741497228225560576","Sell","USDT","CLP","62000","984.3","62.98",,"0.12","","Lpirela","Completed","2025-04-04 15:31:59"
"22741497244574466048","Sell","USDT","CLP","100000","984.3","101.59",,"0.2","","LUCXHO31","Completed","2025-04-04 15:32:03"
"22741497793863380992","Sell","USDT","CLP","74000","984.3","75.18",,"0.15","","P2P-adc8bfh7","Completed","2025-04-04 15:34:14"
"22741499030960582656","Sell","USDT","CLP","100000","984.3","101.59",,"0.2","","","Completed","2025-04-04 15:39:09"
"22741500614564671488","Sell","USDT","CLP","50000","983.3","50.84",,"0.1","","Hunter_exchange","Completed","2025-04-04 15:45:27"
"22741500925676503040","Sell","USDT","CLP","210409","982.8","214.09",,"0.42","","idcarin","Completed","2025-04-04 15:46:41"
